3.0.00.00.00	Despesas Correntes
3.1.90.91.01	Precatórios - Ativo Civil
3.1.90.91.08	Sentença Judicial - Ativo Civil
3.1.90.91.09	Sentença Judicial - Inativo Civil
3.1.90.91.10	Sentença Judicial - Pensionista Civil
3.1.90.91.14	Sent.Jud.Não Trans Julg Ativo Civil
3.1.90.91.15	Sent.Jud.Não Trans Julg Inativo Civil
3.1.90.91.16	Sent.Jud.Não Trans.Julg Pensionista Civil
3.1.90.91.20	Depósitos Judiciais
3.1.90.91.23	Precatórios - Inativo Civil
3.1.90.91.25	Honorários Sucumbenciais De Precatórios
3.1.90.91.26	Sentença Judicial De Peq Valor - Ativo Civil
3.1.90.91.28	Sentença Judicial De Peq Valor - Inativo Civil
3.1.90.91.30	Sentença Judicial De Peq Valor - Pensionista Civil
3.1.90.91.36	Precatórios - Pensionista Civil
3.1.90.91.97	Outros Precatórios Judiciais
3.1.90.91.99	Outras Sentenças Judiciais
3.1.90.92.00	Despesas de Exercícios Anteriores 
3.1.90.92.01	Aposentadorias, Reserva Remunerada e Reformas
3.1.90.92.03	Pensões do RPPS e do Militar
3.1.90.92.04	Contratação por Tempo Determinado
3.1.90.92.05	Outros Benef. Previd. do Servidor ou do Militar
3.1.90.92.07	Contrib. a Entidades Fechadas de Previdência
3.1.90.92.11	Vencimentos e Vantagens Fixas - Pessoal Civil
3.1.90.92.13	Obrigações Patronais
3.1.90.92.16	Outras Despesas Variáveis - Pessoal Civil
3.1.90.92.59	Pensões Especiais
3.1.90.92.91	Sentenças Judiciais
3.1.90.92.94	Indenizações e Restituições Trabalhistas
3.1.90.92.96	Ressarcimento de Despesas com Pessoal Requisitado
3.1.90.92.98	Indenizações por Demissão e com Programas de Incentivos à Demissão Voluntária - Trab. Ativo Civil
3.1.90.92.99	Outras Despesas de Exercícios Anteriores
3.1.90.94.00	Indenizações e Restituições Trabalhistas 
3.1.90.94.01	Indenizações e Restituições Trab. Ativo Civil
3.1.90.94.03	Indenizações e Restituições Trab. Inat. Civil
3.1.90.94.13	Indenizações e Restituições Trab. Pens. Civil 
3.1.90.94.98	Indenizações por Demissão e com Programas de Incentivos à Demissão Voluntária - Trab. Ativo Civil
3.1.90.94.99	Outras Indenizações e Restituições Trabalhistas
3.1.90.96.00	Ressarcimento de Despesas de Pessoal Requisitado
3.1.90.99.00	A Classificar
3.1.91.00.00	Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social
3.1.91.04.00	Contratação por Tempo Determinado
3.1.91.08.00	Outros Benefícios Assistenciais do Servidor e do Militar 
3.1.91.13.00	Obrigações Patronais
3.1.91.13.08	Contribuições Previdenciárias - RPPS - Pessoal Ativo - Plano Previdenciário
3.1.91.13.09	Seguros de Acidentes do Trabalho
3.1.91.13.10	Contribuições Previdenciárias - RPPS - Pessoal Inativo e Pensionista - Plano Previdenciário
3.1.91.13.11	Contribuições Previdenciárias - RPPS - Pessoal Ativo - Plano Financeiro
3.1.91.13.12	Contribuições Previdenciárias - RPPS - Pessoal Inativo e Pensionista - Plano Financeiro
3.1.91.13.20	Alíquota Suplementar de Contribuição Previdenciária -  Pessoal Ativo - Plano Previdenciário
3.1.91.13.21	Alíquota Suplementar de Contribuição Previdenciária -  Pessoal Inativo e Pensionista - Plano Previdenciário
3.1.91.13.22	Alíquota Suplementar de Contribuição Previdenciária -  Pessoal Ativo - Plano Financeiro
3.1.91.13.23	Alíquota Suplementar de Contribuição Previdenciária -  Pessoal Inativo e Pensionista - Plano Financeiro
3.1.91.13.99	Outras Obrigações Patronais
3.1.91.86.00	Compensações a  Regimes de Previdência
3.1.91.91.00	Sentenças Judiciais 
3.1.91.91.01	Sentenças Judiciais de Pessoal Ativo 
3.1.91.91.02	Sentenças Judiciais de Inativos e Pensionistas Custeadas com Recursos do RPPS
3.1.91.91.03	Sentenças Judiciais de Inativos e Pensionistas Custeadas com Recursos Ordinários do Tesouro
3.1.91.91.51	Obrigações Patronais De Precatórios
3.1.91.91.52	Obrigações Patronais - Sent.Jud.Pequeno Valor
3.1.91.91.53	Obrigações Patronais Sent.Jud.-Pessoal Civil
3.1.91.91.99	Outras Sentenças Judiciais
3.1.91.92.00	Despesas de Exercícios Anteriores 
3.1.91.92.04	Contratação por Tempo Determinado
3.1.91.92.05	Contribuições Previdenciárias - RPPS - Pessoal Ativo do Plano Previdenciário
3.1.91.92.06	Contribuições Previdenciárias - RPPS - Pessoal Inativo e Pensionista do Plano Previdenciário
3.1.91.92.07	Contribuições Previdenciárias - RPPS - Pessoal Ativo do Plano Financeiro
3.1.91.92.08	Contribuições Previdenciárias - RPPS - Pessoal Inativo e Pensionista do Plano Financeiro
3.1.91.92.09	Alíquota Suplementar De Contribuição Previdenciária - Pessoal Ativo do Plano Previdenciário
3.1.91.92.10	Alíquota Suplementar De Contribuição Previdenciária - Pessoal Inativo e Pensionista do Plano Previdenciário
3.1.91.92.11	Alíquota Suplementar de Contribuição Previdenciária - Pessoal Ativo do Plano Financeiro
3.1.91.92.12	Alíquota Suplementar De Contribuição Previdenciária - Pessoal Inativo e Pensionista do Plano Financeiro
3.1.91.92.13	Demais Obrigações Patronais
3.1.91.92.51	Indenizações Trabalhistas – Obrig. Patronais
3.1.91.92.91	Sentenças Judiciais
3.1.91.92.96	Ressarcimento de Despesas com Pessoal Requisitado
3.1.91.92.98	Indenizações por Demissão e com Programas de Incentivos à Demissão Voluntária - Trab. Ativo Civil
3.1.91.92.99	Outras Despesas de Exercícios Anteriores
3.1.91.94.00	Indenizações e Restituições Trabalhistas 
3.1.91.94.51	Indenizações Trabalhistas – Obrig. Patronais
3.1.91.94.98	Indenizações por Demissão e com Programas de Incentivos à Demissão Voluntária - Trab. Ativo Civil
3.1.91.94.99	Outras Indenizações e Restituições Trabalhistas
3.1.91.96.00	Ressarcimento de Despesas de Pessoal Requisitado
3.1.95.00.00	Aplicação Direta à Conta de Recursos de que Tratam os §§ 1° e 2° do Art. 24 da Lei Complementar  n° 141, de 2012
3.1.95.04.00	Contratação por Tempo Determinado 
3.1.95.07.00	Contribuições a Entidades Fechadas de Previdência 
3.1.95.11.00	Vencimentos e Vantagens Fixas – Pessoal Civil 
3.1.95.11.01	 Vencimentos e Salários
3.1.95.11.50	Salário Maternidade
3.1.95.11.52	Licença Saúde
3.1.95.13.00	Obrigações Patronais 
3.1.95.13.01	FGTS 
3.1.95.13.02	Contribuição Patronal para o RPPS
3.1.95.13.03	Contribuição Patronal para o INSS
3.1.95.13.99	Outras Obrigações
3.1.95.16.00	Outras Despesas Variáveis - Pessoal Civil 
3.1.95.67.00	Depósitos Compulsórios 
3.1.95.91.00	Sentenças Judiciais  
3.1.95.91.01	Sentenças Judiciais de Pessoal Ativo 
3.1.95.91.02	Sentenças Judiciais de Inativos e Pensionistas Custeadas com Recursos do RPPS
3.1.95.91.03	Sentenças Judiciais de Inativos e Pensionistas Custeadas com Recursos Ordinários do Tesouro
3.1.95.92.00	Despesas de Exercícios Anteriores 
3.1.95.94.00	Indenizações e Restituições Trabalhistas 
3.1.95.94.98	Indenizações por Demissão e com Programas de Incentivos à Demissão Voluntária - Trab. Ativo Civil
3.1.95.94.99	Outras Indenizações e Restituições Trabalhistas
3.1.95.96.00	Ressarcimento de Despesas de Pessoal Requisitado
3.1.95.99.00	A Classificar
3.1.96.00.00	Aplicação Direta à Conta de Recursos de que Trata o Art. 25 da Lei Complementar  n° 141, de 2012 
3.1.96.04.00	Contratação por Tempo Determinado 
3.1.96.07.00	Contribuições a Entidades Fechadas de Previdência
3.1.96.11.00	Vencimentos e Vantagens Fixas – Pessoal Civil
3.1.96.11.01	 Vencimentos e Salários
3.1.96.11.50	Salário Maternidade
3.1.96.11.52	Licença Saúde
3.1.96.13.00	Obrigações Patronais
3.1.96.13.01	FGTS
3.1.96.13.02	Contribuição Patronal para o RPPS
3.1.96.13.03	Contribuição Patronal para o INSS
3.1.96.13.99	Outras Obrigações
3.1.96.16.00	Outras Despesas Variáveis – Pessoal Civil
3.1.96.67.00	Depósitos Compulsórios
3.1.96.91.00	Sentenças Judiciais 
3.1.96.91.01	Sentenças Judiciais de Pessoal Ativo 
3.1.96.91.02	Sentenças Judiciais de Inativos e Pensionistas Custeadas com Recursos do RPPS
3.1.96.91.03	Sentenças Judiciais de Inativos e Pensionistas Custeadas com Recursos Ordinários do Tesouro
3.1.96.92.00	Despesas de Exercícios Anteriores 
3.1.96.94.00	Indenizações e Restituições Trabalhistas 
3.1.96.94.98	Indenizações por Demissão e com Programas de Incentivos à Demissão Voluntária - Trab. Ativo Civil
3.1.96.94.99	Outras Indenizações e Restituições Trabalhistas
3.1.96.96.00	Ressarcimento de Despesas de Pessoal Requisitado
3.1.96.99.00	A Classificar
3.1.99.00.00	A Definir
3.1.99.99.00	A Classificar
3.2.00.00.00	Juros e Encargos da Dívida
3.2.71.00.00	Transferências a Consórcios Públicos Mediante Contrato de Rateio 
3.2.71.70.00	Rateio pela Participação em Consórcio Público 
3.2.71.99.00	A Classificar
3.2.73.00.00	Transferências a Consórcios Públicos Mediante Contrato de Rateio à Conta de Recursos de que Tratam os §§1° e 2° do Art. 24 da Lei Complementar n° 141, de 2012  
3.2.73.70.00	Rateio pela Participação em Consórcio Público 
3.2.73.99.00	A classificar
3.2.74.00.00	Transferências a Consórcios Públicos Mediante Contrato de Rateio à Conta de Recursos de que Trata o Art. 25 da Lei Complementar n° 141, de 2012 
3.2.74.70.00	Rateio pela Participação em Consórcio Público
3.2.74.99.00	A classificar
3.2.90.00.00	Aplicações Diretas
3.2.90.21.00	Juros sobre a Dívida por Contrato
3.2.90.21.01	Juros sobre a Dívida por Contrato – Interna
3.2.90.21.02	Juros sobre a Dívida por Contrato – Externa
3.2.90.22.00	Outros Encargos sobre a Dívida por Contrato
3.2.90.22.01	Outros Encargos sobre a Dívida por Contrato – Interna
3.2.90.22.02	Outros Encargos sobre a Dívida por Contrato – Externa
3.2.90.23.00	Juros, Deságios e Descontos da Dívida Mobiliária
3.2.90.24.00	Outros Encargos sobre a Dívida Mobiliária
3.2.90.25.00	Encargos sobre Operações de Crédito por Antecipação da Receita
3.2.90.91.00	Sentenças Judiciais
3.2.90.92.00	Despesas de Exercícios Anteriores
3.2.90.93.00	Indenizações e Restituições
3.2.90.99.00	A Classificar
3.2.91.00.00	Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social
3.2.91.21.00	Juros sobre a Dívida por Contrato
3.2.91.22.00	Outros Encargos sobre a Dívida por Contrato 
3.2.91.91.00	Sentenças Judiciais
3.2.91.92.00	Despesas de Exercícios Anteriores
3.2.91.93.00	Indenizações e Restituições
3.2.95.00.00	Aplicação Direta à Conta de Recursos de que Tratam os §§ 1° e 2° do Art. 24 da Lei Complementar  n° 141, de 2012 
3.2.95.21.00	Juros sobre a Dívida por Contrato
3.2.95.21.01	Juros sobre a Dívida por Contrato – Interna
3.2.95.21.02	Juros sobre a Dívida por Contrato – Externa
3.2.95.22.00	Outros Encargos sobre a Dívida por Contrato
3.2.95.22.01	Outros Encargos sobre a Dívida por Contrato – Interna
3.2.95.22.02	Outros Encargos sobre a Dívida por Contrato – Externa
3.2.95.92.00	Despesas de Exercícios Anteriores
3.2.95.99.00	A Classificar
3.2.96.00.00	Aplicação Direta à Conta de Recursos de que Trata o Art. 25 da Lei Complementar  n° 141, de 2012 
3.2. 96.21.00	Juros sobre a Dívida por Contrato
3.2. 96.21.01	Juros sobre a Dívida por Contrato – Interna
3.2. 96.21.02	Juros sobre a Dívida por Contrato – Externa
3.2. 96.22.00	Outros Encargos sobre a Dívida por Contrato
3.2. 96.22.01	Outros Encargos sobre a Dívida por Contrato – Interna
3.2. 96.22.02	Outros Encargos sobre a Dívida por Contrato – Externa
3.2. 96.92.00	Despesas de Exercícios Anteriores
3.2. 96.99.00	A Classificar
3.2.99.00.00	A Definir
3.2.99.99.00	A Classificar
3.3.00.00.00	Outras Despesas Correntes
3.3.20.00.00	Transferências à União
3.3.20.01.00	Aposentadorias, Reserva Remunerada e Reformas
3.3.20.03.00	Pensões
3.3.20.41.00	Contribuições
3.3.20.81.00	Distribuição Constitucional ou Legal de Receitas 
3.3.20.92.00	Despesas de Exercícios Anteriores
3.3.20.93.00	Indenizações e Restituições
3.3.20.99.00	A Classificar
3.3.22.00.00	Execução Orçamentária Delegada à União
3.3.22.14.00	Diárias – Civil
3.3.22.30.00	Material de Consumo
3.3.22.35.00	Serviços de Consultoria
3.3.22.36.00	Outros Serviços de Terceiros – Pessoa Física
3.3.22.39.00	Outros Serviços de Terceiros – Pessoa Jurídica
3.3.22.40.00	Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica
3.3.22.99.00	A Classificar
3.3.30.00.00	Transferências a Estados e ao Distrito Federal
3.3.30.41.00	Contribuições
3.3.30.81.00	Distribuição Constitucional ou Legal de Receitas 
3.3.30.92.00	Despesas de Exercícios Anteriores
3.3.30.93.00	Indenizações e Restituições
3.3.30.99.00	A Classificar
3.3.31.00.00	Transferências a Estados e ao Distrito Federal – Fundo a Fundo 
3.3.31.41.00	Contribuições 
3.3.31.92.00	Despesas de Exercícios Anteriores
3.3.31.99.00	A Classificar
3.3.32.00.00	Execução Orçamentária Delegada a Estados e ao Distrito Federal
3.3.32.14.00	Diárias – Civil
3.3.32.18.00	Auxílio Financeiro a Estudantes
3.3.32.20.00	Auxílio Financeiro a Pesquisadores
3.3.32.30.00	Material de Consumo 
3.3.32.32.00	Material, Bem ou Serviço para Distribuição Gratuita
3.3.32.33.00	Passagens e Despesas com Locomoção
3.3.32.35.00	Serviços de Consultoria 
3.3.32.36.00	Outros Serviços de Terceiros – Pessoa Física 
3.3.32.39.00	Outros Serviços de Terceiros – Pessoa Jurídica 
3.3.32.40.00	Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica
3.3.32.47.00	Obrigações Tributárias e Contributivas
3.3.32.92.00	Despesas de Exercícios Anteriores
3.3.32.93.00	Indenizações e Restituições
3.3.32.99.00	A Classificar
3.3.40.00.00	Transferências a Municípios
3.3.40.41.00	Contribuições
3.3.40.43.00	Subvenções Sociais
3.3.40.81.00	Distribuição Constitucional ou Legal de Receitas 
3.3.40.91.00	Sentenças Judiciais
3.3.40.92.00	Despesas de Exercícios Anteriores
3.3.40.93.00	Indenizações e Restituições
3.3.40.99.00	A Classificar
3.3.42.00.00	Execução Orçamentária Delegada a Municípios 
3.3.42.14.00	Diárias – Pessoal Civil
3.3.42.18.00	Auxílios Financeiros a Estudantes 
3.3.42.30.00	Material de Consumo 
3.3.42.32.00	Material, Bem ou Serviço para Distribuição Gratuita
3.3.42.33.00	Passagens e Despesas com Locomoção 
3.3.42.35.00	Serviços de Consultoria 
3.3.42.36.00	Outros Serviços de Terceiros – Pessoa Física 
3.3.42.39.00	Outros Serviços de Terceiros – Pessoa Jurídica 
3.3.42.40.00	Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica
3.3.42.47.00	Obrigações Tributárias e Contributivas 
3.3.42.92.00	Despesas de Exercícios Anteriores 
3.3.42.93.00	Indenizações e Restituições 
3.3.42.99.00	A Classificar
3.3.50.00.00	Transferências a Instituições Privadas sem Fins Lucrativos
3.3.50.14.00	Diárias – Civil
3.3.50.18.00	Auxílio Financeiro a Estudantes
3.3.50.20.00	Auxílio Financeiro a Pesquisadores
3.3.50.30.00	Material de Consumo 
3.3.50.31.00	Premiações Culturais, Artísticas, Científicas, Desportivas e Outras 
3.3.50.33.00	Passagens e Despesas com Locomoção
3.3.50.34.00	Outras Despesas de Pessoal Decorrentes de Contratos de Terceirização
3.3.50.35.00	Serviços de Consultoria 
3.3.50.36.00	Outros Serviços de Terceiros - Pessoa Física 
3.3.50.39.00	Outros Serviços de Terceiros - Pessoa Jurídica  
3.3.50.40.00	Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica
3.3.50.41.00	Contribuições
3.3.50.42.00	Auxílios
3.3.50.43.00	Subvenções Sociais
3.3.50.47.00	Obrigações Tributárias e Contributivas
3.3.50.81.00	Distribuição Constitucional ou Legal de Receitas 
3.3.50.85.00	Contrato de Gestão
3.3.50.92.00	Despesas de Exercícios Anteriores
3.3.50.99.00	A Classificar
3.3.60.00.00	Transferências a Instituições Privadas com Fins Lucrativos
3.3.60.39.00	Outros Serviços de Terceiros – Pessoa Jurídica
3.3.60.40.00	Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica
3.3.60.41.00	Contribuições
3.3.60.45.00	Subvenções Econômicas
3.3.60.92.00	Despesas de Exercícios Anteriores
3.3.60.99.00	A Classificar
3.3.67.00.00	Execução de Contrato de Parceria Público-Privada (PPP)
3.3.67.45.00	Subvenções Econômicas
3.3.67.82.00	Aporte de Recursos pelo Parceiro Público em favor do Parceiro Privado decorrente de Contrato de Parceria Público-Privada – PPP
3.3.67.83.00	Despesas Decorrentes de Contrato de Parceria Público-Privada - PPP, exceto Subvenções Econômicas, Aporte e Fundo Garantidor
3.3.67.99.00	A Classificar
3.3.70.00.00	Transferências a Instituições Multigovernamentais
3.3.70.41.00	Contribuições
3.3.70.92.00	Despesas de Exercícios Anteriores
3.3.70.99.00	A Classificar
3.3.71.00.00	Transferências a Consórcios Públicos Mediante Contrato de Rateio 
3.3.71.70.00	Rateio pela Participação em Consórcio Público 
3.3.71.99.00	A Classificar
3.3.72.00.00	Execução Orçamentária Delegada a Consórcios Públicos
3.3.72.14.00	Diárias – Civil 
3.3.72.30.00	Material de Consumo 
 3.3.72.31.00	Premiações Culturais, Artísticas, Científicas, Desportivas e Outras
3.3.72.32.00	Material, Bem ou Serviço para Distribuição Gratuita 
3.3.72.33.00	Passagens e Despesas com Locomoção 
3.3.72.35.00	Serviços de Consultoria 
3.3.72.36.00	Outros Serviços de Terceiros – Pessoa Física 
3.3.72.37.00	Locação de Mão-de-obra 
3.3.72.39.00	Outros Serviços de Terceiros – Pessoa Jurídica 
3.3.72.40.00	Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica
3.3.72.92.00	Despesas de Exercícios Anteriores
3.3.72.99.00	A Classificar
3.3.73.00.00	Transferências a Consórcios Públicos Mediante Contrato de Rateio à Conta de Recursos de que Tratam os §§1° e 2° do Art. 24 da Lei Complementar n° 141, de 2012 
3.3.73.70.00	Rateio pela Participação em Consórcio Público
3.3.73.99.00	A classificar
3.3.74.00.00	Transferências a Consórcios Públicos Mediante Contrato de Rateio à Conta de Recursos de que Trata o Art. 25 da Lei Complementar n° 141, de 2012 
3.3.74.70.00	Rateio pela Participação em Consórcio Público
3.3.74.99.00	A classificar
3.3.75.00.00	Transferências a Instituições Multigovernamentais à Conta de Recursos de que Tratam os §§1° e 2° do Art. 24 da Lei Complementar n° 141, de 2012
3.3.75.41.00	Contribuições
3.3.75.99.00	A classificar
3.3.76.00.00	Transferências a Instituições Multigovernamentais à Conta de Recursos de que Trata o Art. 25 da Lei Complementar n° 141, de 2012
3.3.76.41.00	Contribuições
3.3.76.99.00	A classificar
3.3.80.00.00	Transferências ao Exterior
3.3.80.14.00	Diárias - Civil
3.3.80.41.00	Contribuições
3.3.80.43.00	Subvenções Sociais
3.3.80.99.00	A Classificar
3.3.90.00.00	Aplicações Diretas
3.3.90.04.00	Contratação por Tempo Determinado
3.3.90.06.00	Benefício Mensal ao Deficiente e ao Idoso
3.3.90.08.00	Outros Benefícios Assistenciais do Servidor e do Militar 
3.3.90.08.01	Auxílio-Funeral
3.3.90.08.05	Auxílio Natalidade
3.3.90.08.09	Auxílio Creche 
3.3.90.08.11	Auxílio-Saúde
3.3.90.08.14	Auxílio Deficiente
3.3.90.08.15	Auxílio Escola 
3.3.90.08.46	Auxílio Odontológico
3.3.90.08.47	Auxílio Oftalmológico
3.3.90.08.48	Auxílio Medicamento
3.3.90.08.53	Auxílio-Reclusão
3.3.90.08.56	Salário Família
3.3.90.08.99	Outros Benefícios Assistenciais
3.3.90.14.00	Diárias – Pessoal Civil
3.3.90.14.01	Diárias de Vereadores
3.3.90.14.02	Diárias de Presidente da Câmara
3.3.90.14.03	Diárias de Prefeito
3.3.90.14.04	Diárias de Secretários
3.3.90.14.05	Diárias de demais servidores
3.3.90.18.00	Auxílio Financeiro a Estudantes
3.3.90.19.00	Auxílio-fardamento
3.3.90.20.00	Auxílio Financeiro a Pesquisadores
3.3.90.27.00	Encargos para a Honra de Avais, Garantias, Seguros e Similares
3.3.90.28.00	Remuneração de Cotas de Fundos Autárquicos
3.3.90.29.00	Distribuição de Resultado de Empresas Estatais Dependentes
3.3.90.30.00	Material de Consumo
3.3.90.30.01	Combustíveis Automotivos 
3.3.90.30.02	Lubrificantes Automotivos
3.3.90.30.03	Combustíveis e Lubrificantes para Outras Finalidades 
3.3.90.30.04	Gás Engarrafado 
3.3.90.30.05	Explosivos e Munições 
3.3.90.30.06	Alimentos para Animais
3.3.90.30.07	Gêneros de Alimentação
3.3.90.30.08	Animais para Pesquisa e Abate
3.3.90.30.09	 Medicamentos
3.3.90.30.10	Material Odontológico
3.3.90.30.11	 Material Químico
3.3.90.30.12	 Material de Coudelaria ou de Uso Zootécnico 
3.3.90.30.13	 Material de Caça e Pesca 
3.3.90.30.14	Material Educativo e Esportivo
3.3.90.30.15	 Material para Festividades e Homenagens
3.3.90.30.16	 Material de Expediente
3.3.90.30.17	 Material de Processamento de Dados
3.3.90.30.18	 Materiais e Medicamentos para Uso Veterinário
3.3.90.30.19	 Material de Acondicionamento e Embalagem
3.3.90.30.20	Material de Cama, Mesa e Banho
3.3.90.30.21	Material de Copa e Cozinha
3.3.90.30.22	 Material de Limpeza e Produção de Higienização
3.3.90.30.23	 Uniformes, Tecidos e Aviamentos
3.3.90.30.24	 Material para Manutenção de Bens Imóveis
3.3.90.30.25	 Material para Manutenção de Bens Móveis
3.3.90.30.26	 Material Elétrico e Eletrônico
3.3.90.30.27	 Material de Manobra e Patrulhamento
3.3.90.30.28	 Material de Proteção e Segurança
3.3.90.30.29	 Material para Áudio, Vídeo e Foto
3.3.90.30.30	 Material para Comunicações
3.3.90.30.31	Sementes, Mudas de Plantas e Insumos
3.3.90.30.32	 Material Para Produção Industrial
3.3.90.30.33	 Sobressalentes, Máquinas, Motores e Embarcações
3.3.90.30.34	 Material Laboratorial
3.3.90.30.35	 Material Hospitalar
3.3.90.30.36	 Suprimento de Proteção ao Vôo
3.3.90.30.37	 Material para Manutenção de Veículos
3.3.90.30.38	 Material Biológico
3.3.90.30.39	 Material Gráfico
3.3.90.30.40	 Ferramentas
3.3.90.30.41	 Material para Reabilitação Profissional
3.3.90.30.42	 Material de Sinalização Visual e Afins
3.3.90.30.43	 Material Técnico para Seleção e Treinamento
3.3.90.30.44	 Material Bibliográfico Não Imobilizável
3.3.90.30.45	 Aquisição de Softwares de Base
3.3.90.30.46	 Bens Móveis Não Ativáveis
3.3.90.30.47	 Bandeiras, Flâmulas e Insígnias
3.3.90.30.99	Outros Materiais de Consumo 
3.3.90.31.00	Premiações Culturais, Artísticas, Científicas, Desportivas e Outras
3.3.90.32.00	Material, Bem ou Serviço para Distribuição Gratuita
3.3.90.32.01	Medicamentos
3.3.90.32.02	Insumos e Serviços para Saúde 
3.3.90.32.99	Outros Materiais, Bens ou Serviços para Distribuição Gratuita
3.3.90.33.00	Passagens e Despesas com Locomoção
3.3.90.33.01	Locação de Veículos para Locomoção de Pessoas,  exceto Transporte Escolar
3.3.90.33.99	Outras Despesas com Locomoção
3.3.90.34.00	Outras Despesas de Pessoal Decorrentes de Contratos de Terceirização 
3.3.90.35.00	Serviços de Consultoria
3.3.90.35.01	Consultoria e Assessoria Contábil
3.3.90.35.02	Consultoria e Assessoria Jurídica
3.3.90.35.03	Consultoria e Assessoria Administrativa
3.3.90.35.04	Consultoria e Assessoria para Captação de Recursos de ICMS
3.3.90.35.05	Consultoria e Assessoria para  Apuração do Valor Adicionado Fiscal (VAF)
3.3.90.35.06	Consultoria e Assessoria para Captação de Recursos de Convênios
3.3.90.35.99	Outros Serviços de Consultoria e Assessoria
